OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1519",2ae19629-1cb0-13a3-e055-000000000001,Y,SWORDS-LISSENHALL,SORD-HALLA AN LEASÁIN,"267133","1","04",FINGAL,Baile Átha Cliath,SWORDS,24045.010443558840052,-18775562.408866327255964
"1520",2ae19629-1cb1-13a3-e055-000000000001,Y,SWORDS-SEATOWN,SORD-BAILE NA MARA,"267134","3","04",FINGAL,Baile Átha Cliath,HOWTH-MALAHIDE,12741.460452580862693,-4036995.886711608152837
"1521",2ae19629-1cb2-13a3-e055-000000000001,Y,SWORDS VILLAGE,SORD,"267135","1","04",FINGAL,Baile Átha Cliath,SWORDS,4634.595383668487557,-916951.591809192672372
"1522",2ae19629-1cb3-13a3-e055-000000000001,Y,TALLAGHT-AVONBEG,TAMHLACHT-ABHAINN BHEAG,"267136","1","03",SOUTH DUBLIN,Baile Átha Cliath,TALLAGHT CENTRAL,2808.142396677754277,-367666.309862724854611
"1523",2ae19629-1cb4-13a3-e055-000000000001,Y,TALLAGHT-BELGARD,TAMHLACHT-BELGARD,"267137","1","03",SOUTH DUBLIN,Baile Átha Cliath,TALLAGHT CENTRAL,7166.400747919282367,-2732906.314293146599084
"1524",2ae19629-1cb5-13a3-e055-000000000001,Y,TALLAGHT-FETTERCAIRN,TAMHLACHT-FOTHAIR CHARDAIN,"267138","1","03",SOUTH DUBLIN,Baile Átha Cliath,TALLAGHT SOUTH,9892.251885908350232,-4590261.097672392614186
"1525",2ae19629-1cb6-13a3-e055-000000000001,Y,TALLAGHT-GLENVIEW,TAMHLACHT-RADHARC AN GHLEANNA,"267139","1","03",SOUTH DUBLIN,Baile Átha Cliath,TALLAGHT CENTRAL,4772.752592830661342,-406247.457711076131091
"1526",2ae19629-1cb7-13a3-e055-000000000001,Y,TALLAGHT-JOBSTOWN,TAMHLACHT-RÁTH MIONTÁIN,"267140","1","03",SOUTH DUBLIN,Baile Átha Cliath,TALLAGHT SOUTH,7561.475831808296789,-2729183.247003017924726
"1527",2ae19629-1cb8-13a3-e055-000000000001,Y,TALLAGHT-KILLINARDAN,TAMHLACHT-CILL AN ARDÁIN,"267141","1","03",SOUTH DUBLIN,Baile Átha Cliath,TALLAGHT SOUTH,3550.612125922927589,-743419.175208450295031
"1528",2ae19629-1cba-13a3-e055-000000000001,Y,ENNISKEEN,INIS CAOIN,"027048","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,23704.455444503586477,-19015205.907146029174328
"1529",2ae19629-1cbb-13a3-e055-000000000001,Y,ESKEY,DROICHEAD NA HEASCA,"027049","1","32",CAVAN,An Cabhán,CAVAN-BELTURBET,23231.133226510752138,-18553694.245791815221310
"1530",2ae19629-1cbc-13a3-e055-000000000001,Y,KILBRIDE,CILL BHRÍDE,"027052","1","32",CAVAN,An Cabhán,BALLYJAMESDUFF,39353.807604445508332,-31113888.297963511198759
"1531",2ae19629-1cbd-13a3-e055-000000000001,Y,KILCOGY,CILL CHÓIGE,"027053","1","32",CAVAN,An Cabhán,BALLYJAMESDUFF,26247.318081131295912,-17830723.064409777522087
"1532",2ae19629-1cbe-13a3-e055-000000000001,Y,BLACKROCK-CARYSFORT,AN CHARRAIG DHUBH-DÚN CARÚIN,"267020","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,BLACKROCK,5198.015806206470188,-1305633.729989814106375
